#AORkey pointing RA DEC object SL2 SL1 LL2 LL1
3625472 | 0 | 309.773773193 | 68.0388641357 | L1157-MM | 1 | 1 | 1 | 1
3634176 | 1 | 265.023712158 | -29.3658771515 | AFGL5376-SL | 1 | 1 | 0 | 0
3634176 | 2 | 265.50776 | -29.6868213333 | AFGL5376-SL | 1 | 1 | 0 | 0
3634176 | 3 | 265.683624268 | -29.1362171173 | AFGL5376-SL | 1 | 1 | 0 | 0
3634176 | 4 | 265.697601318 | -29.177520752 | AFGL5376-SL | 1 | 1 | 0 | 0
3634176 | 5 | 265.729705811 | -29.2650127411 | AFGL5376-SL | 1 | 1 | 0 | 0
3635200 | 1 | 265.021179199 | -29.3656597137 | AFGL5376-LL | 0 | 0 | 1 | 1
3635200 | 2 | 265.506988525 | -29.6870136261 | AFGL5376-LL | 0 | 0 | 1 | 1
3635200 | 3 | 265.533508301 | -29.3520088196 | AFGL5376-LL | 0 | 0 | 1 | 1
3635200 | 4 | 265.571228027 | -29.2983875275 | AFGL5376-LL | 0 | 0 | 1 | 1
3635200 | 5 | 265.607757568 | -29.2445316315 | AFGL5376-LL | 0 | 0 | 1 | 1
3635200 | 6 | 265.640960693 | -29.1905441284 | AFGL5376-LL | 0 | 0 | 1 | 1
3635200 | 7 | 265.682342529 | -29.1367912292 | AFGL5376-LL | 0 | 0 | 1 | 1
3635200 | 8 | 265.718322754 | -29.0828762054 | AFGL5376-LL | 0 | 0 | 1 | 1
3635200 | 9 | 265.758605957 | -29.0290126801 | AFGL5376-LL | 0 | 0 | 1 | 1
3635200 | 10 | 265.797326667 | -28.9751938333 | AFGL5376-LL | 0 | 0 | 1 | 1
3635200 | 11 | 265.820556641 | -29.2507781982 | AFGL5376-LL | 0 | 0 | 1 | 1
3732736 | 0 | 156.143966675 | 47.1527061462 | fsc10214+4724 | 0 | 1 | 1 | 1
3732992 | 0 | 213.942596436 | 11.4956092834 | h1413+117 | 0 | 1 | 1 | 1
3733248 | 0 | 248.407659167 | 70.49779175 | PG1634+706 | 1 | 1 | 1 | 1
3733760 | 0 | 350.529876709 | 19.7396507263 | PSS 2322+1944 | 0 | 0 | 0 | 1
3753216 | 0 | 186.428100586 | 0.572325468063 | Markarian 52 | 1 | 1 | 1 | 1
3753472 | 0 | 93.9015426636 | 71.0375061035 | Markarian 3 | 1 | 1 | 1 | 1
